id,Title,Overall Rating,Year,Genre,MPAA Rating,Directors,Actors,Plot
2632,A Scanner Darkly,2.66/4,2006,Sci-Fi/Animation,R,Richard Linklater,"Keanu Reeves, Robert Downey Jr., Rory Cochrane","In the near future, the war on drugs is taking its toll on society. Cops are spying on everyone, including other cops, all to try and clean up drug 'D'. No one is safe from this destructive drug or each other."
2633,Miss Potter,2.74/4,2006,Comedy/Romance,PG,Chris Noonan,"Ren̩e Zellweger, Ewan McGregor, Emily Watson",
2634,Shortbus,2.74/4,2006,Drama/Romance,NR,John Cameron Mitchell,"Sook-Yin Lee, Paul Dawson, Lindsay Beamish",
2635,Ten Canoes,3.05/4,2006,Adventure/Comedy,NR,"Rolf de Heer, Peter Djigirr","Crusoe Kurddal, Jamie Gulpilil, Richard Birrinbirrin",
2636,Riding Alone for Thousands of Miles ( Qian li zou dan qi ),3.08/4,2006,Drama,PG,"Yimou Zhang, Yasuo Furuhata","Ken Takakura, Shinobu Terajima, Kiichi Nakai",
2637,Nanny McPhee,2.74/4,2006,Comedy/Family,PG,Kirk Jones,"Emma Thompson, Colin Firth, Kelly Macdonald","A widower has seven children to take care of - seven ill-mannered, misbehaving children who have driven the last 17 nannies away. When a voice tells him to find Nanny McPhee, he heeds it and soon the new nanny arrives and her appearance, not to mention magic, soon change their lives."
2638,River Queen,3.25/4,2006,Adventure/Drama,R,Vincent Ward,"Samantha Morton, Kiefer Sutherland, Cliff Curtis",An unusual romance story set during New Zealand Land Wars in the 19th century between the Maori and the British Colonial Forces.
2639,Curse of the Golden Flower ( Man cheng jin dai huang jin jia ),2.82/4,2006,Action/Adventure,R,Yimou Zhang,"Yun-Fat Chow, Ye Liu, Li Gong",
2640,The Devil Wears Prada,2.73/4,2006,Comedy,PG-13,David Frankel,"Anne Hathaway, Meryl Streep, Emily Blunt","A recent Northwestern grad finds a job working as an assitant to ""Runway"" in which she knows nothing about fashion but is desired to keep her job."
2641,"Holiday, The (2006)",2.71/4,2006,Romance/Comedy,PG-13,Nancy Meyers,"Cameron Diaz, Kate Winslet, Jude Law","Two women exchange houses during the Holidays hoping to get away from men, but they find something special."
2642,Reincarnation ( Rinne ),2.94/4,2006,Horror,R,Takashi Shimizu,"Yka, Karina, Kippei Shiina",Nagisa Sugiura is a young aspiring actor that lands a role in a horror movie based on a real incident where a man took his familiy on vacation to a hotel. There he first killed his family then he killed the entire staff before he took his own life. From the moment the young actor leaves the audition she begin to see people that nobody else can see.
2643,When The Levees Broke: A Requiem in Four Acts,3.07/4,2006,Documentary,NR,Spike Lee,"Spike Lee, Al Sharpton, Sean Penn","Spike Lee presents an unflinching, artistic, gritty look at the aftermath of Hurricane Katrina and the U.S. government's response."
2644,"King and the Clown, The ( Wang-ui namja )",2.96/4,2006,Drama/Historical,NR,Jun-ik Lee,"Woo-seong Kam, Jin-yeong Jeong, Seong-Yeon Kang",
2645,Bleach: Memories of Nobody,2.83/4,2006,Anime/Adventure,NR,Noriyuki Abe,"Masashi Ebara, Masakazu Morita, Chiwa Saito","The appearance of numerous souls, called ""Blanks"" in Karakura town has Ichigo and Rukia scrambling for answers. They find it in a mysterious Shinigami named Senna, who holds the key to preventing the real world and Soul Society from merging."
2646,Final Fantasy VII - Advent Children,2.66/4,2006,Fantasy/Adventure,PG-13,"Tetsuya Nomura, Takeshi Nozue","Steve Burton, Rachel Leigh Cook, Mena Suvari","A planet is ravaged by the ""Geostigma"" disease and an ex-mercenary decides to fight again when three mysterious men begin kidnapping children sticken with the sickness."
2647,Khosla Ka Ghosla!,2.89/4,2006,Comedy/Crime,NR,Dibakar Banerjee,"Anupam Kher, Boman Irani, Parvin Dabas",
2648,Clerks II,2.60/4,2006,Comedy,R,Kevin Smith,"Brian O'Halloran, Jeff Anderson, Rosario Dawson","Ten years after the events in Clerks, Dante and Randal's beloved Quick Stop burns down and they find themselves at Mooby's, a fast food restaurant.  With Dante about to leave New Jersey for a sweet married life in Florida, Randal prepares the ultimate going-away party."
2649,An Inconvenient Truth,2.63/4,2006,Documentary,PG,Davis Guggenheim,"Al Gore, Billy West",Depicts global warming trends along with Al Gore's personal life experiences. Al Gore is a lifetime advocate of stopping global warming before it is too late.
2650,In My Father's Den,2.85/4,2006,Mystery/Drama,R,Brad McGann,"Matthew Macfadyen, Miranda Otto, Emily Barclay",
2651,Take My Eyes ( Te doy mis ojos ),3.13/4,2006,Drama/Romance,NR,Ic_ar Bolla_n,"Laia Marull, Luis Tosar, Candela Pe̱a",
2652,Mutual Appreciation,3.13/4,2006,Comedy,R,Andrew Bujalski,"Justin Rice, Rachel Clift, Andrew Bujalski",
2653,The Living and the Dead,3.33/4,2006,Drama/Horror,NR,Simon Rumley,"Roger Lloyd-Pack, Leo Bill, Kate Fahy",
2654,Stupid Teenagers Must Die! ( Blood & Guts ),3.33/4,2006,Comedy/Horror,NR,Jeff C. Smith,"Jovan Meredith, Ashley Schneider, Devin Marble",
2655,Grandma's Boy (2006),2.63/4,2006,Comedy,R,Nicholaus Goossen,"Linda Cardellini, Allen Covert, Peter Dante","When his roommate spends the rent money on Filipino hookers. Alex, a 35 year video game tester has to find a new place to live. After a ""encounter"" with his friends mom, Alex is forced to move in with his grandmother. Trying to save face with his younger co-workers, Alex says that he is living ""with three hot babes"" (meaning his grandmother and her two roommates)."
2656,Talladega Nights: The Ballad of Ricky Bobby,2.57/4,2006,Comedy/Sport,PG-13,Adam McKay,"Will Ferrell, John C. Reilly, Sacha Baron Cohen","A pair of NASCAR drivers are put to the test when a French Formula 1 racer begins to race to the top of the NASCAR world Bobby's life and plan all crumble, especially when he and his best friend and partner go their separate ways."
2657,Broken Trail,2.76/4,2006,Western,NR,Walter Hill,"Robert Duvall, Thomas Haden Church, Greta Scacchi",In the mid 1800's two cattlemen/ranchers attempt to herd cattle across the country. Along the way they meet five Chinese women who were being brought to be sold into prostitution in the mining camps.  The men must decide if they will help the young innocent Chinese women or continue on their journey as planned.
2658,"Calvaire ( Ordeal, The )",2.76/4,2006,Drama/Horror,NR,Fabrice Du Welz,"Laurent Lucas, Brigitte Lahaie, Gigi Coursigny",
2659,Dreamgirls,2.61/4,2006,Musical/Drama,PG-13,Bill Condon,"Jennifer Hudson, Eddie Murphy, Beyonc̩ Knowles",Three women who finally get their break sining pop music across the nation go through hard times as they deal with their manager and his arrogance.
2660,Candy (2006),2.71/4,2006,Drama/Romance,R,Neil Armfield,"Heath Ledger, Abbie Cornish, Geoffrey Rush","Two young lovers are addicted to themselves and drugs while they try to satisfy their addiction by selling them selves and their surroundings to get high again.  They try moving to different parts of the country to ""get out"" of their envirnment when a realization occurs."
2661,Flushed Away,2.61/4,2006,Animation/Adventure,PG,"David Bowers, Sam Fell","Hugh Jackman, Kate Winslet, Ian McKellen","London high-society mouse Roddy is flushed down the toilet by Syd, a common sewer rat.  Roddy ends up in the bowels of Ratropolis, where he meets the resourceful Rita, the rodent-hating Toad and his faithful thugs Spike and Whitey."
2662,Jeff Dunham: Arguing with Myself,3.00/4,2006,Comedy,NR,Manny Rodriguez,Jeff Dunham,
2663,Wah-Wah,3.00/4,2006,Drama,R,Richard E. Grant,"Gabriel Byrne, Emily Watson, Julie Walters",
2664,Bliss ( Fu sheng ),3.00/4,2006,Drama,NR,Zhimin Sheng,"Jiang-ge Guan, Xing-quan He, Zhong Liao",
2665,Train Man ( Densha Otoko ),3.00/4,2006,Comedy/Romance,NR,Shosuke Murakami,"Takayuki Yamada, Miki Nakatani, Ryoko Kuninaka","Story of a shy ""geeky"" young man who stand up for a beautifully women on the train.  He then seeks advice on how to woo her from his chat room support group."
2666,Imagine Me & You,2.74/4,2006,Comedy/Drama,R,Ol Parker,"Piper Perabo, Lena Headey, Matthew Goode",
2667,A Prairie Home Companion,2.67/4,2006,Comedy/Drama,PG-13,Robert Altman,"Woody Harrelson, Tommy Lee Jones, Garrison Keillor",
2668,Loving Annabelle,2.79/4,2006,Drama,R,Katherine Brooks,"Erin Kelly, Diane Gaidry, Laura Breckenridge","Loving Annabelle tells the story of a boarding school student who falls in love with her teacher. Simone Bradley, played by Diane Gaidry, is a teacher at a Catholic all-girls boarding school. Her student, Annabelle, played by Erin Kelly, is falling in love but not confident because of her age, 17, and the fact that Simone is her teacher. The film tells the story of the relationship between teacher and student, as Annabelle pursues Simone."
2669,Marie Antoinette (2006),2.58/4,2006,Drama/Historical,PG-13,Sofia Coppola,"Kirsten Dunst, Rip Torn, Jason Schwartzman","The Biography of the Queen of France, Marie Antoinette, from birth to death told in a new era way."
2670,Over the Hedge (2006),2.63/4,2006,Family/Adventure,PG,"Tim Johnson, Karey Kirkpatrick","Bruce Willis, Garry Shandling, Steve Carell","When a raccoon destroys a bear's private food stash, he has one week to replace the goods. He seeks out a group of naive woodland animals to accomplish his task, but soon finds himself part of their family."
2671,Dirty Carnival ( Biyeolhan geori ),3.00/4,2006,Action/Crime,NR,Ha Yu,"Ho-jin Chun, Yoon Jae-Moon, Ku Jin",A small time thug collecting debts for the local triad is torn between his criminal aspirations and his devotion to family.
2672,The Secret Life of Words,2.86/4,2006,Drama,NR,Isabel Coixet,"Sarah Polley, Tim Robbins, Eddie Marsan",A nurse on a leave of absence takes care of a burn victim (Tim Robbins) who befriends her in an unusual way.
2673,"Untouchable, The ( intouchable, L' )",3.08/4,2006,Drama,NR,Benǫt Jacquot,"Isild Le Besco, B̩rang̬re Bonvoisin, Marc Barb̩",
2674,Elizabeth I,3.00/4,2006,Biography/Drama,PG-13,Tom Hooper,"Helen Mirren, Hugh Dancy, Toby Jones",Acclaimed miniseries about the later years of Queen Elizabeth I.
2675,We Are Marshall,2.64/4,2006,Sport/Drama,PG,McG,"Matthew McConaughey, Matthew Fox, Anthony Mackie",The story of the 1975 Marshall University football team that lost there lives in a horrible plane crash. A new couch is brought in to coach the new season.
2676,Monster House,2.62/4,2006,Adventure/Animation,PG,Gil Kenan,"Mitchel Musso, Sam Lerner, Spencer Locke","When the old man who inhabits the uber-creepy house across the street apparently dies, the house begins to come alive and torment the neighborhood."
2677,Tristan + Isolde,2.63/4,2006,Adventure/Drama,PG-13,Kevin Reynolds,"James Franco, Sophia Myles, Rufus Sewell",
2678,"Science of Sleep, The ( Science des r̻ves, La )",2.63/4,2006,Comedy/Fantasy,R,Michel Gondry,"Gael Garc_a Bernal, Charlotte Gainsbourg, Emma de Caunes",A man has difficulty separating reality and his dreams.
2679,Something New (2006),2.71/4,2006,Drama/Romance,PG-13,Sanaa Hamri,"Sanaa Lathan, Simon Baker, Mike Epps",
2680,"Hills Have Eyes, The (2006)",2.56/4,2006,Horror,R,Alexandre Aja,"Aaron Stanford, Kathleen Quinlan, Vinessa Shaw",A family to California for vacation take a shortcut through the dessert and fall prey to cannibals physically altered by nuclear testing.
2681,Venus,2.72/4,2006,Drama/Comedy,R,Roger Michell,"Peter O'Toole, Leslie Phillips, Jodie Whittaker","A young girl (Jessie) moves in with an aging actor (Ian) to help care for him. She turns out to be his worst nightmare - drinking, cursing, and thoroughly self-centered. Ian's friend, Maurice, befriends the girl and eventually falls in love with her - even though she's fifty years younger than him."
2682,"Cave of the Yellow Dog ( H̦hle des gelben Hundes, Die )",2.92/4,2006,Drama,G,Byambasuren Davaa,"Babbayar Batchuluun, Nansal Batchuluun, Nansalmaa Batchuluun",
2683,Rocky Balboa,2.57/4,2006,Drama/Sport,PG,Sylvester Stallone,"Sylvester Stallone, Burt Young, Antonio Tarver","Rocky mourns the death of Adrian and does the only thing he knows how to do, Fight."
2684,Charlotte's Web (2006),2.59/4,2006,Family/Comedy,G,Gary Winick,"Julia Roberts, Steve Buscemi, John Cleese",A spider uses her web-spinning talents to save a young pig from the slaughterhouse.
2685,Old Joy,2.72/4,2006,Drama,NR,Kelly Reichardt,"Daniel London, Will Oldham, Tanya Smith",
2686,Eight Below,2.60/4,2006,Adventure/Drama,PG,Frank Marshall,"Paul Walker, Bruce Greenwood, Moon Bloodgood",
2687,Iqbal,2.85/4,2006,Drama/Sport,NR,Nagesh Kukunoor,"Naseeruddin Shah, Girish Karnad, Shreyas Talpade",
2688,She's the Man,2.62/4,2006,Comedy/Romance,PG-13,Andy Fickman,"Amanda Bynes, Channing Tatum, Laura Ramsey","A girl pretends to be her brother for two weeks to play soccer, but ends up falling in love with a boy on her team."
2689,Dresden: The Inferno ( Dresden ),3.13/4,2006,Drama/Romance,NR,Roland Suso Richter,"Felicitas Woll, John Light, Benjamin Sadler","A nurse working in Dresden during WWII is engaged to the lead physician, but when a British pilot is shot down and makes his way to the city, she comes across him and helps him, falling for him as well. Meanwhile, the allies plan a massive bombing of the city."
2690,X-Men: The Last Stand,2.56/4,2006,Action/Adventure,PG-13,Brett Ratner,"Hugh Jackman, Patrick Stewart, Halle Berry","When a cure for genetic mutation is announced, Professor Xavier must contend with Magneto's Brotherhood, who will stop at nothing to eliminate the source."
2691,Night at the Museum,2.52/4,2006,Comedy/Adventure,PG,Shawn Levy,"Ben Stiller, Carla Gugino, Dick Van Dyke","An unemployed, divorced father has little confidence and even less to show his only son, that is until he takes a job as a museum night watchman and learns that when night falls, history really does come to life."
2692,Accepted,2.55/4,2006,Comedy,PG-13,Steve Pink,"Justin Long, Jonah Hill, Adam Herschman","After a slacker is rejected from every college he applies to, he decides, along with some creative editing, to create his own college and is accepted. But his overly-anxious parents want to check out his new school and so he must create one: website, campus - the whole works. But fooling his parents is just the beginning, as more and more rejected would-be students apply - and are accepted - leading to a showdown with the local college for the future of this higher education."
2693,Behind the Mask: The Rise of Leslie Vernon,2.63/4,2006,Comedy/Horror,R,Scott Glosserman,"Nathan Baesel, Angela Goethals, Robert Englund","A man, who is believed dead, explains his life and his destiny to a small film crew. His destiny is simple, kill a bunch of people until his name goes down in the history books."
2694,Street Fight,2.81/4,2006,Documentary,NR,Marshall Curry,"Sharpe James, Cory Booker, Spike Lee","Street Fight takes a look at the 2002 Mayoral race in Newark, New Jersey."
2695,Nathalie...,2.73/4,2006,Drama,NR,Anne Fontaine,"Fanny Ardant, Emmanuelle B̩art, G̩rard Depardieu","Catherine discovers that her husband Bernard is cheating on her. She decides to pay Parisian prostitute Nathalie to have an affair with her husband, and report back to her."
